algorithm,config_file,source_suite,source_rank,objective_score,note
random,random/best_01.json,manual,1,,Uniform random policy baseline with one minimal config.
mappo,mappo/best_01.json,combined,1,-18.953520584106442,Imported from combined2 simple_spread_v3 leaderboard.
mappo,mappo/best_02.json,combined,2,-19.019016647338866,Imported from combined2 simple_spread_v3 leaderboard.
mappo,mappo/best_03.json,combined,3,-19.396383476257324,Imported from combined2 simple_spread_v3 leaderboard.
mappo,mappo/best_04.json,combined,4,-19.486720848083493,Imported from combined2 simple_spread_v3 leaderboard.
mappo,mappo/best_05.json,combined,5,-19.914011001586914,Imported from combined2 simple_spread_v3 leaderboard.
iql,iql/best_01.json,combined,1,-15.619139480590821,Imported from combined2 simple_spread_v3 leaderboard.
iql,iql/best_02.json,combined,2,-16.04448823928833,Imported from combined2 simple_spread_v3 leaderboard.
iql,iql/best_03.json,combined,3,-17.217739677429197,Imported from combined2 simple_spread_v3 leaderboard.
iql,iql/best_04.json,combined,4,-17.327969551086426,Imported from combined2 simple_spread_v3 leaderboard.
iql,iql/best_05.json,combined,5,-17.97342720031738,Imported from combined2 simple_spread_v3 leaderboard.
ippo,ippo/best_01.json,combined,1,-26.109231948852536,Imported from combined2 simple_spread_v3 leaderboard.
ippo,ippo/best_02.json,combined,2,-26.109231948852536,Imported from combined2 simple_spread_v3 leaderboard.
ippo,ippo/best_03.json,combined,3,-26.109231948852536,Imported from combined2 simple_spread_v3 leaderboard.
ippo,ippo/best_04.json,combined,4,-26.109231948852536,Imported from combined2 simple_spread_v3 leaderboard.
ippo,ippo/best_05.json,combined,5,-37.21303310394286,Imported from combined2 simple_spread_v3 leaderboard.
qmix,qmix/best_01.json,combined,1,-16.69352989196777,Imported from combined2 simple_spread_v3 leaderboard.
qmix,qmix/best_02.json,combined,2,-20.39700775146484,Imported from combined2 simple_spread_v3 leaderboard.
qmix,qmix/best_03.json,combined,3,-21.765139961242674,Imported from combined2 simple_spread_v3 leaderboard.
qmix,qmix/best_04.json,combined,4,-21.776355934143066,Imported from combined2 simple_spread_v3 leaderboard.
qmix,qmix/best_05.json,combined,5,-21.94733543395996,Imported from combined2 simple_spread_v3 leaderboard.
vdn,vdn/best_01.json,combined,1,-13.332641601562498,Imported from combined2 simple_spread_v3 leaderboard.
vdn,vdn/best_02.json,combined,2,-13.52547378540039,Imported from combined2 simple_spread_v3 leaderboard.
vdn,vdn/best_03.json,combined,3,-13.934850692749023,Imported from combined2 simple_spread_v3 leaderboard.
vdn,vdn/best_04.json,combined,4,-14.155872154235837,Imported from combined2 simple_spread_v3 leaderboard.
vdn,vdn/best_05.json,combined,5,-14.370635604858396,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v0,pimac_v0/best_01.json,combined,1,-19.521293449401853,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v0,pimac_v0/best_02.json,combined,2,-20.090732383728025,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v0,pimac_v0/best_03.json,combined,3,-20.49267578125,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v0,pimac_v0/best_04.json,combined,4,-20.548000717163085,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v0,pimac_v0/best_05.json,combined,5,-20.939434814453122,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v1,pimac_v1/best_01.json,combined,1,-25.477704238891597,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v1,pimac_v1/best_02.json,combined,2,-25.93069152832031,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v1,pimac_v1/best_03.json,combined,3,-26.109231948852536,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v1,pimac_v1/best_04.json,combined,4,-26.486268043518066,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v1,pimac_v1/best_05.json,combined,5,-27.072086334228512,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v2,pimac_v2/best_01.json,combined,1,-24.628803253173828,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v2,pimac_v2/best_02.json,combined,2,-24.739039039611814,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v2,pimac_v2/best_03.json,combined,3,-24.889128303527833,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v2,pimac_v2/best_04.json,combined,4,-25.28434638977051,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v2,pimac_v2/best_05.json,combined,5,-26.109231948852536,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v3,pimac_v3/best_01.json,combined,1,-22.08838596343994,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v3,pimac_v3/best_02.json,combined,2,-22.525947189331053,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v3,pimac_v3/best_03.json,combined,3,-23.736422157287596,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v3,pimac_v3/best_04.json,combined,4,-24.428787231445312,Imported from combined2 simple_spread_v3 leaderboard.
pimac_v3,pimac_v3/best_05.json,combined,5,-24.786585998535156,Imported from combined2 simple_spread_v3 leaderboard.
